Country,Geographic_Coordinates,Area_Total,Land_Area,Water_Area,Land_Boundaries,Coastline,Highest_Elevation,Lowest_Elevation,Forest_Land,Other_Land,Agricultural_Land,Arable_Land (%% of Total Agricultural Land),Permanent_Crops (%% of Total Agricultural Land),Permanent_Pasture (%% of Total Agricultural Land),Irrigated_Land
CROATIA,"45 10 N, 15 30 E","56,594 sq km","55,974 sq km",620 sq km,"2,237 km","5,835 km","1,831 m",0 m,34.4,41.9,23.7,16.0,1.5,6.2,171 sq km
CZECHIA,"49 45 N, 15 30 E","78,867 sq km","77,247 sq km","1,620 sq km","2,046 km",0 km,"1,602 m",115 m,34.4,10.8,54.8,41.0,1.0,12.8,220 sq km
DENMARK,"56 00 N, 10 00 E","43,094 sq km","42,434 sq km",660 sq km,141 km,"7,314 km",171 m,-7 m,12.9,23.7,63.4,58.9,0.1,4.4,"2,360 sq km"
ESTONIA,"59 00 N, 26 00 E","45,228 sq km","42,388 sq km","2,840 sq km",657 km,"3,794 km",318 m,0 m,52.1,25.7,22.2,14.9,0.1,7.2,20 sq km
EUROPEAN UNION,,"4,236,351 sq km","4,236,351 sq km",0 sq km,"13,770 km","53,563.9 km","4,810 m",-7 m,41.0,20.2,38.8,60.0,6.0,34.0,"154,539.82 sq km"
FINLAND,"64 00 N, 26 00 E","338,145 sq km","303,815 sq km","34,330 sq km","2,563 km","1,250 km","1,328 m",0 m,72.9,19.6,7.5,7.4,0.0,0.1,80 sq km
FRANCE,"metropolitan France: 46 00 N, 2 00 E;","643,801 sq km","640,427 sq km","3,374 sq km","3,956 km","4,853 km",,-2 m,29.2,18.1,52.7,33.4,1.8,17.5,"14,236 sq km"
GAZA STRIP,"31 25 N, 34 20 E",360 sq km,360 sq km,0 sq km,72 km,40 km,105 m,0 m,1.5,55.2,43.3,17.1,25.4,57.5,240 sq km
GERMANY,"51 00 N, 9 00 E","357,022 sq km","348,672 sq km","8,350 sq km","3,694 km","2,389 km","2,963 m",-3.5 m,31.8,20.2,48.0,34.1,0.6,13.3,"5,056 sq km"
GIBRALTAR,"36 08 N, 5 21 W",7 sq km,6.5 sq km,0 sq km,1.2 km,12 km,426 m,0 m,0.0,100.0,0.0,0.0,0.0,0.0,0 sq km
GREECE,"39 00 N, 22 00 E","131,957 sq km","130,647 sq km","1,310 sq km","1,110 km","13,676 km",,0 m,30.5,6.1,63.4,19.7,8.9,34.8,"11,853 sq km"
GREENLAND,"72 00 N, 40 00 W","2,166,086 sq km","2,166,086 sq km",,0 km,"44,087 km","3,694 m",0 m,0.0,99.4,0.6,0.0,0.0,0.6,
GUERNSEY,"49 28 N, 2 35 W",78 sq km,78 sq km,0 sq km,0 km,50 km,114 m,0 m,0.0,100.0,0.0,0.0,0.0,0.0,0 sq km
HEARD ISLAND AND MCDONALD ISLANDS,"53 06 S, 72 31 E",412 sq km,412 sq km,0 sq km,0 km,101.9 km,"2,745 m",0 m,0.0,100.0,0.0,0.0,0.0,0.0,0 sq km
HONG KONG,"22 15 N, 114 10 E","1,108 sq km","1,073 sq km",35 sq km,33 km,733 km,958 m,0 m,0.0,95.0,5.0,3.2,0.9,0.9,10 sq km
HUNGARY,"47 00 N, 20 00 E","93,028 sq km","89,608 sq km","3,420 sq km","2,106 km",0 km,"1,014 m",78 m,22.5,18.6,58.9,48.5,2.0,8.4,"1,010 sq km"
ICELAND,"65 00 N, 18 00 W","103,000 sq km","100,250 sq km","2,750 sq km",0 km,"4,970 km","2,110 m",0 m,0.3,81.0,18.7,1.2,0.0,17.5,0.5 sq km
INDIAN OCEAN,"20 00 S, 80 00 E",70.56 million sq km,0 sq km,70.56 million sq km,0 km,"66,526 km",0 m,"-7,192 m",0.0,0.0,0.0,0.0,0.0,0.0,0 sq km
IRELAND,"53 00 N, 8 00 W","70,273 sq km","68,883 sq km","1,390 sq km",490 km,"1,448 km","1,041 m",0 m,10.9,23.0,66.1,15.4,0.0,50.7,0 sq km
ISLE OF MAN,"54 15 N, 4 30 W",572 sq km,572 sq km,0 sq km,0 km,160 km,621 m,0 m,6.1,19.2,74.7,43.8,0.0,30.9,
ITALY,"42 50 N, 12 50 E","301,340 sq km","294,140 sq km","7,200 sq km","1,836.4 km","7,600 km","4,748 m",0 m,31.4,21.5,47.1,22.8,8.6,15.7,"26,010 sq km"
JAPAN,"36 00 N, 138 00 E","377,915 sq km","364,485 sq km","13,430 sq km",0 km,"29,751 km","3,776 m",-4 m,68.5,19.0,12.5,11.7,0.8,0.0,"15,730 sq km"
JERSEY,"49 15 N, 2 10 W",116 sq km,116 sq km,0 sq km,0 km,70 km,136 m,0 m,0.0,34.0,66.0,66.0,0.0,0.0,0 sq km
"KOREA, NORTH","40 00 N, 127 00 E","120,538 sq km","120,408 sq km",130 sq km,"1,607 km","2,495 km","2,744 m",0 m,46.0,32.2,21.8,19.5,1.9,0.4,"14,600 sq km"
"KOREA, SOUTH","37 00 N, 127 30 E","99,720 sq km","96,920 sq km","2,800 sq km",237 km,"2,413 km","1,950 m",0 m,63.9,18.0,18.1,15.3,2.2,0.6,"7,780 sq km"
